2018 Medicare Spent,2019 Medicare Spent,2020 Medicare Spent,2021 Medicare Spent,2022 Medicare Spent
565543746.55,686788119.12,725553945.53,915675125.74,987544120.959
0.0,1461852.13,2747874.31,1556884.53,87566.13
0.0,8197.29,119393.98999999999,114208.82,130883.65
0.0,0.0,0.0,0.0,13756.51
183389.87,322355.26,270352.62,260931.5,218043.24
0.0,0.0,0.0,752674.74,3293189.71
6755554.68,3647619.13,988283.28,549561.6,370241.84
30101266.27,60238183.12,70706783.92,64385480.43,49037919.24
429005.41,281256.31,360094.91000000003,440268.46,653638.4400000001
4372170.97,3768424.31,8320564.92,11135633.48,11577376.82
0.0,2390300.23,8343087.44,8381826.68,6204813.76
2397037.59,2384620.84,2423347.2399999998,2360333.19,2434659.13
65822102.47,153221815.59,277255502.78,358384096.21000004,383683294.96
40400859.82,36106770.79,35590472.5,35353370.84,34448817.620000005
104791706.14,132392600.66,153690298.69,165795595.2,187312598.48
0.0,0.0,0.0,4249.19,272845.68
54786614.22,59622249.93,58732828.26,60651786.07,80415394.76
4163795.52,6716837.08,6540289.73,6792964.4,6283761.73
0.0,0.0,0.0,0.0,312485.0
29016.11,18648.01,7962.28,3976.24,1719.33
1407247.22,1330482.33,886551.94,659387.04,381610.24
134660.81,126186.11,81160.98999999999,59922.53,43408.48
7846184.53,29840381.03,40299729.160000004,40787135.370000005,41900339.47
546917.04,2065134.06,2611433.0100000002,2897946.33,1773393.2
164184.74,170322.61,56601.91,65291.43,25307.33
0.0,0.0,0.0,0.0,37696367.44
3996471.6,4143724.94,4511924.09,4971396.66,4570161.04
0.0,0.0,1541878.74,2429870.65,1890984.21
0.0,0.0,0.0,0.0,1019384.57
747405.51,878683.09,688532.0,442224.36,426618.79
15678108.459999999,9992041.620000001,10318478.73,10727228.049999999,11286040.55
252877736.16000003,144803646.91,118653141.0,74570969.06,44446401.239999995
4032.68,11992.47,23617.6,698560.59,1690281.95
767644.68,697170.44,31516.02,6562.67,386.81
0.0,0.0,16379736.41,36976954.85,44753132.14
302700.55,190820.82,163000.94,146997.09,127282.54
2973.8,0.0,0.0,352905.44,543273.1
0.0,0.0,0.0,54500.1,173864.06
0.0,0.0,0.0,0.0,2800009.08
0.0,125758.98,940911.69,1295810.2,482563.8
2204256.54,2508508.27,3382046.73,3605684.17,3679156.2
2370528.47,2977391.27,3598177.48,4579812.47,5484305.35
295.63,791.83,1298.3,1992.08,2527.7
0.0,0.0,0.0,0.0,614.5
24603506.47,24641679.82,25021067.39,23665005.07,23441956.5
392067.88,334500.27,223303.56,272736.08,239487.8
0.0,124702139.12,215418306.63,274796160.56,367261094.1
0.0,0.0,0.0,0.0,18639.88
0.0,0.0,0.0,0.0,8318.98
1319079637.49,1313408594.78,1307440338.75,1363429745.02,1539976335.33
21341031.09,18281282.349999998,23926227.650000002,23537992.96,20517764.29
332552.72000000003,254778.36,93080.07,70117.83,46821.1
2677241.99,3732623.91,6073007.09,7892768.65,10515065.26
109051.78,113373.19,140394.58,161219.36,196104.66
49218535.269999996,126761667.47,166806366.24,194791796.72,117959924.5
25274.94,42022.67,99178.94,268561.57,371014.72000000003
5710144.57,7673600.03,8200556.34,5348182.49,4264372.74
180748.21,25078.81,12719.23,0.0,1097.66
6748432.680000001,9240842.3,12572182.89,17164901.25,6874677.08
53096590.46,63395767.36,65848712.78,80547723.77,33236192.23
200644.28,243762.3,191289.98,162789.0,156002.84
3998392.12,6048243.56,7770324.76,4806105.15,4492654.99
0.0,166054.15,1157154.26,1727496.93,1840708.32
268082914.25,424801157.58000004,540865291.29,601588051.49,736171390.7
22178234.16,19678260.33,18095334.51,16176125.3,11359708.29
6369481160.39,7352318075.58,8416834313.56,10020815933.42,11879482964.19
20421145.92,18813188.07,18507490.18,17331353.7,15998192.55
0.0,0.0,0.0,0.0,159.39
526065480.65,543601603.92,601142705.8199999,584920003.2,514938652.65
0.0,0.0,0.0,0.0,5150262.27
4479214.12,6850174.17,7343529.55,6651056.35,6571998.9
0.0,697483.89,21972245.650000002,63890442.43000001,105277362.51
195436336.14999998,133574644.45,74693329.64,73152875.75,75782482.18
0.0,13367.38,150497.83,1930141.4300000002,2753501.7500000005
90696891.7,108678981.08,98755579.14,127131307.03999999,156250653.63
0.0,0.0,2816559.88,8150727.15,14801231.93
0.0,0.0,0.0,67.59,150.94
0.0,0.0,4875672.13,33230629.07,59468839.3
0.0,0.0,0.0,0.0,77895.69
0.0,0.0,0.0,374427.84,1393711.88
1008673.48,689358.65,404246.4,235528.16,145893.74
17277.97,8013.83,3247.5,5332.77,6321.0
3069.42,12448.27,41822.82,147174.85,118599.5
10758493.3,5165693.99,5113721.8100000005,4374542.08,2977662.8
328494784.53,438739174.07,389831480.56,668601960.42,923240109.0600001
249624.15000000002,298542.87,434448.95999999996,679958.6699999999,1204986.6800000002
0.0,0.0,2144619.58,11731516.59,12068274.14
0.0,0.0,0.0,0.0,114396.77
118721.12,2842004.62,25550976.91,31536986.51,35035829.69
227401.46,120651.95,89879.49,75958.34,74209.34
11680.38,64368.56,539985.59,1590803.95,502770.45999999996
2453944.9299999997,5068618.19,5229042.82,13566397.829999998,21171405.09
1072177.46,900136.36,772773.37,599705.96,518804.86
13149.08,1338087.99,1981397.49,2248307.86,381985.4
0.0,0.0,0.0,552699.18,16507967.879999999
3582.31,6305.64,7217.68,7040.39,18239.550000000003
0.0,13691.66,78003.23,222539.72,385778.0
0.0,0.0,0.0,3947521.12,3100714.34
854213869.02,663061328.56,671511634.13,536001280.59000003,165160222.53
89909.53,863057.7,6235316.67,11686123.58,9177303.69
0.0,53270.8,142537.85,1164264.29,5371513.53
0.0,14796.37,89221.63,47956.08,51853.43
31261.44,19344.8,10581.17,345220.39999999997,832986.1399999999
186120534.99,135553053.74,82385126.88,76558430.09,76652269.13
6399495.76,7311769.73,5472598.5,5259096.21,5513607.52
961408.71,3477466.5599999996,17047915.34,32256377.57,36545175.0
63031674.94,91091596.92999999,123810990.86,132329446.55,87924616.98
827559.52,892948.1599999999,1668110.55,2176137.8600000003,1658777.06
140670826.39000002,241249372.67000002,344310330.66,381773439.85,427751310.56
2982557.34,2965780.05,1711205.86,1194536.05,814161.58
1013.76,1347.11,1031.77,555.32,984.63
16602.9,7329.5,2875.26,5037.05,1500.6599999999999
0.0,161276.08,55914.44,45261.7,21461.29
220067.24,237883.3,221880.93,248515.22,272943.89
16201996.67,9639900.82,11190264.180000002,16982755.79,12377941.83
19677947.66,20659450.860000003,16466044.629999999,15883983.6,11279469.14
115301.06,39467.93,24038.67,26084.69,17839.7
0.0,0.0,57030.32,590891.07,568458.49
25872117.54,24262003.93,16786264.6,8515411.44,10072729.82
1294161201.48,1306971277.73,1411811853.3100002,1559666638.1,1481637193.54
130523440.19,132676233.62,127856836.18,123904981.19,127758478.59
7254305.83,6589154.83,6528248.11,5937318.86,3441812.98
927897.92,788198.51,740523.14,482278.24,312525.64
