2018 Medicare Units Produced,2019 Medicare Units Produced,2020 Medicare Units Produced,2021 Medicare Units Produced,2022 Medicare Units Produced
2469831.3,1697659.9,1206283.6,838739.078,729680.208
135.0,70.0,62.0,61.0,38.0
0.0,0.0,0.0,9100.0,35497.0
96004.0,57225.0,101215.0,95189.0,72097.0
816617.0,841141.0,687507.0,492080.0,457329.0
0.0,1446377.209,31694292.5,31775751.89,22514241.6
0.0,0.0,0.0,2340.0,143310.0
0.0,0.0,3864.0,40460.0,42364.0
129596.0,122084.0,162148.0,245212.0,387288.0
222533.0,1553538.0,729377.0,881510.0,1667862.018
2083020205.128,2238624466.519,2356082424.159,2713678086.984,2714467714.777
0.0,5616.0,9554.0,5364.0,299.0
0.0,304.0,11928.255000000001,24414.285,17524.485
0.0,0.0,0.0,0.0,7560.0
2163871.491,2723330.326,2339057.012,1934704.179,1861135.8569999998
0.0,0.0,0.0,59715.0,261001.0
386303.274,230485.127,67454.485,33562.549,21493.5
242931.0,446831.0,502152.002,441997.0,332827.0
2137872.1,1301690.887,793537.8,675264.6,846910.8
34458565.376,25938560.23,37083287.509,38610770.058,35551319.793
0.0,341.8,1184.8,1190.4,900.0
20773922.4,20037151.560000002,19224887.0,19900112.226,17962140.145
8187005.0,17129694.0,27039721.0,32119189.0,31013154.5
2969516.5,2640075.5,2465477.0,2273576.0,1971305.0
223005.0,271118.0,288385.0,299366.0,322994.0
0.0,0.0,0.0,314.0,12679.0
46907263.868,42512034.523,43922964.276,48070666.994,54389951.614
8783908.72,19133312.397,16475797.8,17540508.588,17100939.815
0.0,0.0,0.0,0.0,1260.0
35161.0,26453.0,10488.0,4644.0,1874.0
2627116.5,2508592.0,1483217.5,1339433.0,718636.0
1677342.0,1636976.0,1946966.0,1413099.0,951815.0
463142.7,2307130.1,3304801.4,3250420.7,3318818.7
1186687.55,4467579.050000001,5901796.69,7385463.4,7174036.585
370512.0,387206.0,138016.0,159808.0,54910.0
0.0,0.0,0.0,0.0,210876.0
548986.0,531647.0,549718.0,506806.693,431041.5
0.0,0.0,16016.0,23247.0,18691.0
0.0,0.0,0.0,0.0,687.0
6735802.85,6957189.6,5427823.3,3338353.3000000003,3160411.9
1610420.5,905004.0,634689.0,514820.0,449266.5
60778546.1,29652638.5,22902924.5,12575538.0,6804955.0
236040.0,254120.0,613059.8,311054.0,591145.0
7631538.999,7090914.0,261373.0,44903.0,4319.0
0.0,0.0,44913.0,99281.0,110264.0
1081942.0,815844.0,851928.0,769711.0,673216.0
33040.0,0.0,0.0,1915648.0,2983124.0
0.0,0.0,0.0,3640.4,11425.6
0.0,0.0,0.0,0.0,122220.0
0.0,6750.0,47941.0,62166.0,22416.0
4605691.0,4656292.666,5365561.0,5667700.0,5542243.949
475657.0,526221.0,590832.0,685079.0,776058.0
1450.0,4057.0,6370.0,9828.0,12960.0
0.0,0.0,0.0,0.0,3250.0
1316317.0,1259652.0,1232834.0,1097053.0,1029598.0
8640.0,7350.0,4890.0,5910.0,4770.0
0.0,71988.0,120217.0,153084.0,195575.0
0.0,0.0,0.0,0.0,83900.0
0.0,0.0,0.0,0.0,418.0
2256576195.591,2436411009.922,2838028162.898,2881056342.65,3051610427.08
7983308.08,8335720.21,10275672.9,8924780.791,7981670.686
46709.0,33130.0,12542.0,9014.0,6072.0
14799.5,15036.75,23496.25,19891.0,22009.75
304.0,312.0,377.0,424.0,501.5
8780.0,13094.0,15957.0,18189.0,12097.0
1292879.0,2185088.0,5086619.0,4992882.999,4651201.0
10989522.474,17868240.272,19374874.169,10036234.869,7566409.0
86638.0,11510.0,6023.0,0.0,514.0
12048646.2,23171737.743,31321634.415000003,38869462.95,20384934.782
47371210.721,65814652.339999996,73825542.619,90470265.21700001,42892563.685
53629.0,62275.0,46805.0,37988.0,33616.0
170559.0,310594.0,543427.0,348431.0,246793.0
0.0,1221.0,18474.0,24650.0,21899.0
9179447.5,10749505.75,11702630.0,9322269.0,7354739.36
1299928.0,1153216.0,1065105.0,906690.0,575690.0
164461202.651,162241568.757,166634111.80900002,170350787.147,170973380.042
823089.5,728523.5,696363.0,624935.0,553380.5
0.0,0.0,0.0,0.0,139.0
559211.3,515966.9,471893.3,420431.2,382557.9
0.0,0.0,0.0,0.0,479700.0
237132.0,361712.0,374955.0,321743.0,311902.0
0.0,313892.6,66687377.841,200358385.78,284184574.80300003
242105228.13,122328280.56,5147395.0,3136914.0,2700738.0
0.0,1785.0,13208.0,110377.0,146408.0
295926690.106,220882888.762,161671519.75800002,240173032.107,278299164.194
0.0,0.0,42284.0,116346.0,194144.0
0.0,0.0,0.0,1067.0,1610.0
0.0,0.0,442688.0,2820408.0,4488849.0
0.0,0.0,0.0,0.0,14355.0
0.0,0.0,0.0,2058.0,7644.0
10210885.0,6093610.0,3756767.0,2092517.0,1096371.5
84663.0,40151.0,16459.0,26472.0,31268.0
14098.87,111738.273,173693.05599999998,557846.4500000001,599993.1
23271901.6,26554604.559,44869931.721,45244980.678,37618196.68
601670.0,714598.0,600107.0,928287.0,1155297.0
75600.0,77312.0,89952.0,98284.0,165743.0
0.0,0.0,233232.0,1144889.05,759015.5
0.0,0.0,0.0,0.0,9000.0
396240.0,9386494.5,93091961.53400001,119119374.197,102737570.395
681805.0,350263.0,262180.0,216598.0,209667.0
15339.0,83458.5,675694.5,2006006.429,192562.5
2878074.0,9099285.0,8893592.0,23877967.5,37935170.0
63045.5,62690.5,59016.5,53618.5,48111.0
900.0,95184.0,141668.0,144129.0,24149.0
0.0,0.0,0.0,10814.0,331719.0
15611.0,16114.0,34772.0,31815.0,54477.0
0.0,24.0,134.0,374.0,610.0
0.0,0.0,0.0,10638708.0,6408986.788
